date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-06-17,-5.56,-77.14,66.91,747.20,40.02,88.92,4.42,76.86,65.58,27.51,53.98,14.90,8.39,1.40,70468.00,22916.00,889559.00,22812.00,60442.00,893.55,271.33,1211600.00,195470361.00,12276030.00,26240163.00,1420651.00,23270701.00,16063974.00,6051781.00,10888614.00
2024-06-24,-7.67,-159.41,25.38,714.19,5.00,26.51,6.29,46.32,330.78,18.12,48.31,16.50,11.27,5.00,117357.00,5700.60,850488.00,2849.00,18707.80,827.52,116.88,352351.00,79245480.00,1141008.00,5383506.00,1308996.00,8624809.00,31021518.00,1194730.00,2714475.00
2024-07-01,-6.90,-92.42,62.28,717.15,29.39,68.25,5.53,105.06,129.67,26.20,56.82,16.40,7.55,1.10,78340.00,22915.30,858016.00,16754.00,44120.00,834.57,202.73,1034238.00,139417662.00,7324907.00,16790788.00,1428012.00,24541079.00,22669730.00,5003495.00,9463673.00
2024-07-08,-6.43,-101.66,53.24,691.82,28.60,53.20,5.31,94.16,177.78,13.52,41.74,16.40,10.92,5.30,83961.00,26407.00,830300.00,16301.00,33412.00,837.09,191.67,743560.00,128911201.00,6570425.00,12147597.00,1276224.00,20930663.00,28317682.00,1937521.00,5972994.00
2024-07-15,-7.43,-141.56,37.60,721.15,20.40,25.81,5.81,44.09,335.16,14.16,39.13,15.90,10.62,7.40,104710.00,11441.10,859606.00,11631.00,16244.00,810.98,101.28,375024.00,70033068.00,3655340.00,4882337.00,968364.00,7384317.00,25427784.00,1030611.00,2623658.00
2024-07-22,-8.39,-173.47,33.37,660.66,5.34,12.11,6.95,37.43,386.60,21.00,56.54,17.70,11.92,5.50,119854.00,6466.80,786836.00,3044.00,7599.20,768.18,69.72,174042.30,44697700.00,1205303.00,2051444.00,886616.00,5830406.00,19333559.00,622953.00,437472.00
2024-07-29,-8.97,-87.28,64.63,722.25,43.91,49.37,7.23,85.24,106.07,30.27,75.25,16.20,8.60,1.10,73019.00,25306.10,859941.00,25029.00,32260.00,843.07,241.92,1191789.00,162108105.00,11754709.00,17846814.00,3506756.00,28588851.00,14845453.00,3741353.00,7414522.00
2024-08-05,-7.97,-92.86,63.60,609.41,0.00,56.40,6.72,80.42,178.98,25.86,80.72,19.40,11.84,6.00,67850.00,22953.50,730137.00,0.00,36789.00,765.94,519.60,934788.00,287362812.00,0.00,54306389.00,11754776.00,61735299.00,21335748.00,3131275.00,9433632.00
2024-08-12,-8.26,-141.27,55.51,570.62,0.00,22.34,6.70,41.64,275.81,25.63,75.64,21.60,14.42,6.80,101207.00,9980.20,690434.00,0.00,14158.00,762.25,99.08,156685.00,55411902.00,0.00,3922512.00,1162329.00,7239202.00,21746270.00,798100.00,1259188.00
2024-08-19,-6.49,-147.14,54.23,566.75,0.00,7.82,5.08,34.79,298.44,19.34,79.09,23.40,14.84,6.30,105385.00,7593.60,684886.00,0.00,5064.90,756.60,50.30,46490.00,28030161.00,0.00,1109348.76,513095.00,3908358.00,10123749.00,-51927.00,-1008968.00
2024-08-26,-4.57,-188.21,56.35,510.18,0.00,0.06,3.43,9.14,410.17,17.90,81.17,19.90,15.60,11.20,119278.00,3259.90,615191.00,0.00,56.30,686.96,-19.59,-163285.00,-9901972.00,0.00,-2455.09,48877.00,439950.80,-9270413.00,-689587.00,-3582379.00
2024-09-02,-4.23,-166.03,58.02,554.08,0.00,1.35,3.61,17.07,338.75,24.95,84.50,24.10,14.53,8.40,114218.00,6317.40,662217.00,0.00,849.98,726.99,13.49,-70930.00,9795452.00,0.00,230871.32,169955.00,1307153.70,360703.00,-385214.00,-2742107.00
2024-09-09,-4.82,-148.08,57.70,630.23,0.00,2.87,4.05,33.44,231.70,32.39,101.20,19.80,12.39,6.20,119635.00,4005.20,756492.00,0.00,1662.53,805.97,29.13,-54967.00,20731722.00,0.00,303443.94,292933.00,2897468.00,4473501.00,-539877.00,-3293658.00
2024-09-16,-4.38,-167.96,59.40,561.60,0.00,2.17,3.43,30.52,316.34,21.29,106.95,20.40,13.11,5.20,117909.00,2543.70,671554.00,0.11,1247.96,723.93,19.07,-78231.00,12700125.00,-8.42,269372.13,178949.00,2148478.00,2708370.00,-452195.00,-3294398.00
2024-09-23,-4.86,-141.76,62.34,582.33,1.46,6.22,4.07,57.18,191.71,27.95,99.11,24.70,13.95,7.00,107738.00,3495.80,694831.00,830.20,3637.13,789.49,44.30,2108.00,27501174.00,205075.00,772060.32,315804.00,6209977.10,2369086.00,245.00,-1477214.00
2024-09-30,-1.45,-156.42,63.72,479.85,0.00,2.13,1.20,41.70,259.37,37.64,130.65,25.80,15.32,7.50,104969.00,5433.20,573777.00,0.00,1388.34,670.06,19.41,-25855.00,11114364.00,0.00,313091.93,131030.00,3817655.00,741730.00,-1022227.00,-4664240.00
2024-10-07,0.00,-52.49,23.00,227.81,0.00,1.87,0.00,29.39,96.31,18.38,57.08,19.00,12.75,4.70,36745.00,3865.00,273374.00,0.00,1218.74,684.17,38.62,0.00,9495565.00,0.00,244020.15,0.00,2558452.00,2553522.00,-209606.00,-1718137.00
